Ion       |        Air wav (Å) |Unc. (Å)| Ritz Wav Air (Å)   |Unc. (Å)|  Amp  | Aki (s^-1) | Acc. | Lower level | Upper level |Type| TP               | Line             
Xe I      |        10023.72    |  0.02  |        10023.710+  |        |   50  |            |      | 3           | 3           |    |                  |             L4739
Xe I      |        10023.72    |  0.02  |        10023.626+  |        |   50  |            |      | 3           | 4           |    |                  |             L4739
Kr I      |        10038.65    |        |        10038.71+   |        |     3 |            |      | 1           | 2           |    |                  |             L6099
Ar I      |        10052.06    |        |                    |        |   180 |            |      |             |             |    |                  |             L2131
Kr I      |        10054.86    |        |        10054.85+   |        |     2 |            |      | 1           | 2           |    |                  |             L6099
Xe I      |        10056.84    |  0.02  |        10056.878+  |        |     1 |            |      | 3           | 2           |    |                  |             L4739
Xe I      |        10057.96    |  0.02  |        10057.996+  |        |     5 |            |      | 3           | 2           |    |                  |             L4739
Xe I      |        10060.96    |  0.02  |        10060.994+  |        |    10 |            |      | 3           | 3           |    |                  |             L4739
Kr I      |        10065.96    |        |        10065.9681+ |        |    10 | 2.65e+05   | D+   | 2           | 3           |    | T3774n,T3599,u41 |             L6099
Kr I      |        10077.66    |        |        10077.702+  |        |    10 |            |      | 1           | 1           |    |                  |             L6099
Xe I      |        10084.79    |  0.02  |        10084.803+  |        |    20 |            |      | 0           | 1           |    |                  |             L4739
Hg I      |        10099.9     |  0.4   |        10100.18    |  0.20  |     3 |            |      | 2           | 3           | E2 |                  |         L15167c86
Xe I      |        10107.34    |  0.02  |        10107.361+  |        |    80 |            |      | 3           | 4           |    |                  |             L4739
Xe I      |        10119.8     |  0.1   |        10119.706+  |        |     1 |            |      | 3           | 2           |    |                  |             L4739
Kr I      |        10120.96    |        |        10121.0069+ |        |    30 | 6.2e+05    | D+   | 1           | 2           |    | T3774n,T3599,u41 |             L6099
Hg I      |        10121.7     |  0.4   |        10121.08    |  0.07  |     8 |            |      | 2           | 3           |    |                  |         L15167c86
Xe I      |        10125.47    |  0.02  |        10125.451+  |        |    20 |            |      | 1           | 0           |    |                  |             L4739
Hg I      |        10129.6     |  0.5   |        10128.78    |  0.12  |     7 |            |      | 2           | 2           |    |                  |   L7589,L15167c86
Hg I      |        10139.75    |  0.05  |        10139.787   |  0.007 |  1600 | 2.71e+07   | B+   | 1           | 0           |    |            T5292 |             L7591
Kr I      |        10147.68    |        |        10147.7379+ |        |    10 |            |      | 2           | 2           |    |                  |             L6099
Xe I      |        10188.36    |  0.02  |        10188.368+  |        |    10 |            |      | 2           | 3           |    |                  |             L4739
Hg I      |        10229.2     |  0.4   |        10229.5     |  0.4   |     7 |            |      | 2           | 3           |    |                  |          L7592c86
Hg I      |        10235.0     |  0.4   |        10235.1     |  0.3   |     8 |            |      | 1           | 2           |    |                  |         L15167c86
Hg I      |        10241.4     |  0.4   |        10240.181   |  0.021 |     8 |            |      | 1           | 2           |    |                  |         L15167c86
Xe I      |        10251.07    |  0.02  |        10251.040+  |        |    20 |            |      | 1           | 2           |    |                  |             L4739
Kr I      |        10273.6     |        |        10273.6389+ |        |     2 |            |      | 2           | 1           |    |                  |             L6099
Kr I      |        10296.93    |        |        10296.9738+ |        |    80 |            |      | 0           | 1           |    |                  |             L6099
Hg I      |        10320.8     |  1     |        10320.68    |  0.05  |   0.5 |            |      | 1           | 2           |    |                  |         L15170c86
Kr I      |        10322.88    |        |        10323.0024+ |        |     2 |            |      | 1           | 0           |    |                  |             L6099
Xe I      |        10323.9     |  0.2   |        10324.8+    |        |    20 |            |      | 3           | 2           |    |                  |             L4103
Hg I      |        10332.3     |  0.4   |        10332.5     |  0.3   |    10 |            |      | 3           | 4           |    |                  |         L15167c86
Ar I      |        10332.72    |        |                    |        |    30 |            |      |             |             |    |                  |             L2131
Hg I      |        10334.1     |  0.4   |        10333.92    |  0.21  |     1 |            |      | 3           | 3           |    |                  |          L7592c86
Kr I      |        10360.37    |        |        10360.34+   |        |   100 |            |      | 2           | 3           |    |                  |             L6099
Kr I      |        10374.44    |        |        10374.431+  |        |    10 |            |      | 2           | 2           |    |                  |             L6099
Xe I      |        10420.52    |  0.02  |        10420.604+  |        |     1 |            |      | 1           | 1           |    |                  |             L4739
Hg I      |        10423.5     |  0.4   |        10423.10    |  0.05  |     2 |            |      | 3           | 2           |    |                  |         L15167c86
Hg I      |        10431.8     |  0.4   |        10431.745   |  0.020 |     2 |            |      | 2           | 1           |    |                  |         L15167c86
Hg I      |        10450.8     |  0.4   |        10450.680   |  0.020 |     2 |            |      | 1           | 0           |    |                  |         L15167c86
Kr I      |        10458.56    |        |        10458.579+  |        |     6 |            |      | 2           | 2           |    |                  |             L7293
Ar I      |        10470.054   |        |        10470.0528  |        |  1600 | 9.8e+05    | C+   | 0           | 1           |    |            T5223 |             L2634
Ar I      |        10478.034   |        |        10478.034   |        |    13 | 2.44e+06   | C    | 1           | 1           |    |           T1618n |             L2634
Xe I      |        10484.83    |  0.02  |        10484.816+  |        |     8 |            |      | 1           | 0           |    |                  |             L4739
Kr I      |        10486.29    |        |        10486.394+  |        |    2  |            |      | 2           | 1           |    |                  |             L7293
Kr I      |        10486.29    |        |        10485.821+  |        |    2  |            |      | 2           | 2           |    |                  |             L7293
Ar I      |        10506.50    |        |        10506.500   |        |   180 | 1.58e+06   | C    | 2           | 3           |    |           T1618n |             L2131
Xe I      |        10507.91    |  0.02  |        10507.952+  |        |     6 |            |      | 1           | 2           |    |                  |             L4739
Xe I      |        10515.15    |  0.02  |        10515.198+  |        |    10 |            |      | 0           | 1           |    |                  |             L4739
Xe I      |        10527.857   |  0.003 |        10527.864+  |        |   900 |            |      | 2           | 2           |    |                  |             L9760
Kr I      |        10549.64    |        |        10549.618+  |        |     1 |            |      | 2           | 3           |    |                  |             L7293
Xe I      |        10549.76    |  0.03  |        10549.780+  |        |    20 |            |      | 1           | 2           |    |                  |             L7293
Kr I      |        10575.50    |        |        10575.316+  |        |    2  |            |      | 2           | 3           |    |                  |             L7293
Kr I      |        10575.50    |        |        10575.731+  |        |    2  |            |      | 2           | 2           |    |                  |             L7293
Kr I      |        10593.04    |        |        10593.00+   |        |    20 |            |      | 3           | 4           |    |                  |              L125
Kr I      |        10608.46    |        |        10608.444+  |        |     5 |            |      | 3           | 3           |    |                  |              L125
Kr I      |        10626.70    |        |        10626.666+  |        |     8 |            |      | 3           | 4           |    |                  |             L7293
Kr I      |        10644.72    |        |        10644.714+  |        |     1 |            |      | 3           | 2           |    |                  |             L7293
Ar I      |        10673.565   |        |        10673.566   |        |   200 | 4.9e+06    | D    | 1           | 2           |    |            T1372 |             L2634
Ar I      |        10681.773   |        |                    |        |    11 |            |      |             |             |    |                  |             L2634
Kr I      |        10699.33    |        |        10699.257+  |        |    20 |            |      | 4           | 3           |    |                  |             L7293
Xe I      |        10706.78    |  0.03  |        10706.789+  |        |   150 |            |      | 2           | 1           |    |                  |             L7293
Hg I      |        10715.5     |  0.4   |        10715.53    |  0.05  |     5 |            |      | 2           | 1           |    |                  |         L15167c86
Kr I      |        10729.43    |        |        10729.447+  |        |     2 |            |      | 2           | 1           |    |                  |             L7293
Ar I      |        10733.87    |        |                    |        |    30 |            |      |             |             |    |                  |             L2131
Xe I      |        10758.86    |  0.03  |        10758.897+  |        |   100 |            |      | 1           | 1           |    |                  |             L7293
Ar I      |        10759.16    |        |                    |        |    30 |            |      |             |             |    |                  |             L2131
Kr I      |        10801.3     |        |        10801.258+  |        |     1 |            |      | 1           | 1           |    |                  |             L7293
Xe I      |        10838.34    |  0.03  |        10838.328+  |        |  1000 | 1.8e+06    | C+   | 1           | 1           |    |     T3269n,T6714 |             L7293
Kr I      |        10874.90    |        |        10874.920+  |        |   150 |            |      | 0           | 1           |    |                  |              L125
Xe I      |        10895.324   |  0.004 |        10895.322+  |        |   870 |            |      | 1           | 2           |    |                  |             L9760
Hg I      |        11022.2     |  0.4   |        11021.528   |  0.024 |     5 |            |      | 1           | 0           |    |                  |         L15167c86
Hg I      |        11033.6     |  0.4   |        11033.68    |  0.04  |     5 |            |      | 2           | 1           |    |                  |         L15167c86
Ar I      |        11078.869   |        |        11078.868   |        |    11 | 8.3e+05    | C    | 2           | 2           |    |           T1618n |             L2634
Xe I      |        11085.237   |  0.004 |        11085.238+  |        |  1900 |            |      | 2           | 3           |    |                  |             L9760
Ar I      |        11106.46    |        |                    |        |    30 |            |      |             |             |    |                  |             L2131
Xe I      |        11127.189   |  0.004 |        11127.186+  |        |   375 |            |      | 2           | 2           |    |                  |             L9760
Xe I      |        11130.81    |  0.03  |        11130.855+  |        |     8 |            |      | 2           | 3           |    |                  |             L7293
Xe I      |        11141.145   |  0.004 |        11141.131+  |        |   120 | 7.e+05     | D+   | 0           | 1           |    |            T8608 |             L9760
Xe I      |        11162.67    |  0.03  |        11162.692+  |        |    10 |            |      | 2           | 1           |    |                  |             L7293
Xe I      |        11175.5     |  0.1   |        11175.43+   |        |     1 |            |      | 2           | 3           |    |                  |             L7293
Hg I      |        11176.82    |  0.1   |        11176.950   |  0.025 |    10 | 3.7e+06    | D    | 1           | 1           |    |            T3462 |  L15221,L15167c86
Kr I      |        11187.11    |        |        11187.107+  |        |    79 |            |      | 1           | 2           |    |                  |              L125
Kr I      |        11214.58    |        |        11214.568+  |        |     5 |            |      | 3           | 2           |    |                  |             L7293
Xe I      |        11214.89    |  0.03  |        11214.906+  |        |     5 |            |      | 2           | 1           |    |                  |             L7293
Kr I      |        11257.704   |        |        11257.711+  |        |   130 |            |      | 1           | 2           |    |                  |             L9760
Kr I      |        11259.16    |        |        11259.126+  |        |    50 |            |      | 1           | 1           |    |                  |             L7293
Kr I      |        11262.71    |        |        11262.800+  |        |     2 |            |      | 2           | 3           |    |                  |             L7293
Kr I      |        11286.582   |        |        11286.574+  |        |     7 |            |      | 1           | 2           |    |                  |             L9760
Hg I      |        11287.1     |  0.4   |        11287.451   |  0.011 |  1000 | 3.6e+07    | D    | 1           | 2           |    |            T3462 |             L7592
Xe I      |        11289.10    |  0.03  |        11289.150+  |        |    10 | 1.15e+06   | B    | 1           | 0           |    |     T8608n,T6672 |             L7293
Kr I      |        11303.8     |        |        11303.692+  |        |     1 |            |      | 2           | 2           |    |                  |             L7293
Xe I      |        11309.56    |  0.03  |        11309.620+  |        |     5 |            |      | 2           | 2           |    |                  |             L7293
Kr I      |        11316.1     |        |        11316.111+  |        |     1 |            |      | 1           | 1           |    |                  |             L7293
Kr I      |        11328.51    |        |        11328.451+  |        |     4 |            |      | 1           | 2           |    |                  |             L7293
Kr I      |        11333.44    |        |        11333.3783+ |        |     1 |            |      | 0           | 1           |    |                  |             L7293
Hg I      |        11368.0     |  1     |        11367.7     |  0.3   |     1 |            |      | 2           | 3           |    |                  |         L15170c86
Xe I      |        11415.04    |  0.03  |        11415.084+  |        |    15 | 6.1e+05    | D+   | 1           | 1           |    |            T8608 |             L7293
Hg I      |        11436.6     |  0.4   |        11435.33    |  0.07  |     2 |            |      | 1           | 0           |    |                  |         L15167c86
Ar I      |        11441.832   |        |        11441.832   |        |    12 | 1.39e+06   | C    | 2           | 1           |    |           T1618n |             L2634
Kr I      |        11457.477   |        |        11457.4804+ |        |   220 | 2.00e+06   | B    | 1           | 1           |    |            T5651 |             L9760
Ar I      |        11488.109   |        |        11488.1076  |        |   400 | 1.9e+05    | C    | 1           | 1           |    |           T1242n |             L2634
Xe I      |        11491.22    |  0.03  |        11491.263+  |        |    15 | 5.12e+05   | B    | 1           | 2           |    |     T8608n,T6672 |             L7293
Hg I      |        11491.6     |  0.4   |        11491.71    |  0.03  |     4 |            |      | 0           | 1           |    |                  |         L15167c86
Xe I      |        11537.4     |  0.1   |        11537.304+  |        |     1 |            |      | 1           | 0           |    |                  |             L7293
Kr I      |        11611.6     |        |        11611.791+  |        |    1  |            |      | 3           | 4           |    |                  |             L7293
Kr I      |        11611.6     |        |        11611.463+  |        |    1  |            |      | 1           | 2           |    |                  |             L7293
Xe I      |        11614.08    |  0.03  |        11614.111+  |        |    25 |            |      | 0           | 1           |    |                  |             L7293
Kr I      |        11655.8     |        |        11655.7899+ |        |     1 |            |      | 1           | 2           |    |                  |             L7293
Ar I      |        11668.710   |        |        11668.709   |        |   200 | 3.76e+06   | C    | 2           | 2           |    |           T1618n |             L2634
Hg I      |        11687.0     |  0.4   |        11686.80    |  0.04  |     5 |            |      | 1           | 1           |    |                  |         L15167c86
Ar I      |        11719.488   |        |        11719.487   |        |    12 | 9.52e+05   | C    | 2           | 1           |    |           T1618n |             L2634
Xe I      |        11742.236   |  0.004 |        11742.244+  |        |  1750 |            |      | 3           | 4           |    |                  |             L9760
Hg I      |        11768.9     |  0.4   |        11768.08    |  0.04  |     6 |            |      | 2           | 3           |    |                  |         L15167c86
Kr I      |        11792.41    |        |        11792.429+  |        |   140 | 5.80e+05   | C+   | 1           | 1           |    |            T5651 |              L125
Xe I      |        11793.56    |  0.03  |        11793.557+  |        |    10 |            |      | 3           | 3           |    |                  |             L7293
Kr I      |        11819.3785  |        |        11819.378+  |        |  1800 | 8.11e+06   | B    | 1           | 2           |    |            T5651 |           L4205c2
Xe I      |        11857.31    |  0.03  |        11857.319+  |        |     6 |            |      | 3           | 4           |    |                  |             L7293
Xe I      |        11857.86    |  0.03  |        11858.007+  |        |     2 |            |      | 0           | 1           |    |                  |             L7293
Xe I      |        11874.36    |  0.03  |        11874.312+  |        |     1 |            |      | 3           | 2           |    |                  |             L7293
Hg I      |        11885.2     |  0.4   |        11885.4     |  0.4   |     5 |            |      | 2           | 3           |    |                  |         L15167c86
Hg I      |        11890.6     |  0.4   |        11890.6     |  0.3   |     5 |            |      | 1           | 2           |    |                  |         L15167c86
Xe I      |        11912.10    |  0.03  |        11912.129+  |        |     2 |            |      | 1           | 1           |    |                  |             L7293
Xe I      |        11951.1     |  0.1   |        11951.212+  |        |     1 | 6.e+05     | D    | 1           | 2           |    |     T8608n,T6672 |             L7293
Hg I      |        11951.5     |  0.4   |        11950.30    |  0.04  |     2 |            |      | 1           | 2           |    |                  |         L15167c86
Xe I      |        11953.00    |  0.03  |        11953.082+  |        |     3 | 3.0e+05    | D    | 2           | 2           |    |     T8608n,T6672 |             L7293
Kr I      |        11967.182   |        |        11967.176+  |        |     2 |            |      | 2           | 1           |    |                  |             L9760
Hg I      |        11976.3     |  0.4   |        11976.3     |  0.4   |     4 |            |      | 2           | 3           |    |                  |         L15167c86
Kr I      |        11996.00    |        |        11996.005+  |        |    32 |            |      | 2           | 2           |    |                  |              L125
Kr I      |        11997.102   |        |        11997.105+  |        |   350 |            |      | 2           | 3           |    |                  |             L9760
Hg I      |        12019.6     |  0.4   |        12019.7     |  0.4   |     5 |            |      | 3           | 4           |    |                  |         L15167c86
Hg I      |        12071.5     |  0.4   |        12071.596   |  0.007 |     6 | 3.2e+05    | D    | 1           | 1           |    |            T3462 |         L15167c86
Kr I      |        12077.21    |        |        12077.224+  |        |   160 |            |      | 2           | 2           |    |                  |              L125
Kr I      |        12078.850   |        |        12078.853+  |        |     9 |            |      | 2           | 1           |    |                  |             L9760
Xe I      |        12084.80    |  0.03  |        12084.814+  |        |     3 | 1.17e+06   | B    | 4           | 3           |    |            T8608 |             L7293
Ar I      |        12112.326   |        |        12112.324   |        |   200 | 3.1e+06    | D    | 3           | 3           |    |           T1618n |             L2634
Kr I      |        12117.79    |        |        12117.74+   |        |   150 |            |      | 4           | 4           |    |                  |              L125
Kr I      |        12123.55    |        |        12123.5419+ |        |    50 | 1.50e+05   | B    | 1           | 0           |    |            T7199 |              L125
Hg I      |        12128.5     |  0.4   |        12128.27    |  0.06  |     5 | 2.3e+06    | D    | 2           | 3           |    |            T3462 |         L15167c86
