| ion |      wave | NIST | Instr | amplitude |       Source |
| HgI | 10015.841 |    1 |   364 |  123400.0 | Hg_lines.dat |
| ArI | 10015.841 |    1 |   238 |  123400.0 | Ar_lines.dat |
| HgI | 10016.146 |    1 |   365 |  125300.0 | Hg_lines.dat |
| ArI | 10016.146 |    1 |   239 |  125300.0 | Ar_lines.dat |
| ArI | 10025.033 |    1 |   240 |   87520.0 | Ar_lines.dat |
| HgI | 10025.033 |    1 |   366 |   87520.0 | Hg_lines.dat |
| XeI | 10026.470 |    1 |   165 |   7201180.0 | Xe_lines.dat |
| ArI | 10038.710 |    1 |   241 |   65910.0 | Ar_lines.dat |
| HgI | 10038.710 |    1 |   367 |   65910.0 | Hg_lines.dat |
| KrI | 10041.400 |    1 |   156 |   73910.0 | Kr_lines.dat |
| ArI | 10054.820 |    1 |   242 |   65500.0 | Ar_lines.dat |
| HgI | 10054.820 |    1 |   368 |   65500.0 | Hg_lines.dat |
| KrI | 10057.620 |    1 |   157 |   49260.0 | Kr_lines.dat |
| XeI | 10059.600 |    1 |   166 |   30200.0 | Xe_lines.dat |
| XeI | 10060.720 |    1 |   167 |   27980.0 | Xe_lines.dat |
| XeI | 10063.720 |    1 |   168 |   29730.0 | Xe_lines.dat |
| KrI | 10068.720 |    1 |   158 |   52540.0 | Kr_lines.dat |
| KrI | 10080.420 |    1 |   159 |   46800.0 | Kr_lines.dat |
| ArI | 10086.570 |    1 |   243 |   64070.0 | Ar_lines.dat |
| HgI | 10086.570 |    1 |   369 |   64070.0 | Hg_lines.dat |
| XeI | 10087.550 |    1 |   169 |   36450.0 | Xe_lines.dat |
| HgI | 10095.774 |    1 |   370 |   64060.0 | Hg_lines.dat |
| ArI | 10095.774 |    1 |   244 |   64060.0 | Ar_lines.dat |
| ArI | 10102.020 |    1 |   245 |   50890.0 | Ar_lines.dat |
| HgI | 10102.020 |    1 |   371 |   50890.0 | Hg_lines.dat |
| XeI | 10110.110 |    1 |   170 |   24230.0 | Xe_lines.dat |
| HgI | 10113.440 |    1 |   373 |   26720.0 | Hg_lines.dat |
| ArI | 10113.440 |    1 |   246 |   26720.0 | Ar_lines.dat |
| HgI | 10114.364 |    1 |   374 |   20010.0 | Hg_lines.dat |
| ArI | 10114.364 |    1 |   247 |   20010.0 | Ar_lines.dat |
| XeI | 10122.570 |    1 |   171 |   13150.0 | Xe_lines.dat |
| KrI | 10123.730 |    1 |   160 |   11290.0 | Kr_lines.dat |
| HgI | 10124.500 |    1 |   375 |    4175.0 | Hg_lines.dat |
| XeI | 10128.250 |    1 |   172 |    8854.0 | Xe_lines.dat |
| HgI | 10132.400 |    1 |   376 | 35000.0 | Hg_lines.dat |
| HgI | 10141.191 |    1 |   377 |   13210.0 | Hg_lines.dat |
| ArI | 10141.191 |    1 |   248 |   13210.0 | Ar_lines.dat |
| HgI | 10142.530 |    1 |   378 | 1297000.0 | Hg_lines.dat |
| HgI | 10148.740 |    1 |   379 |   12360.0 | Hg_lines.dat |
| ArI | 10148.740 |    1 |   249 |   12360.0 | Ar_lines.dat |
| KrI | 10150.460 |    1 |   161 |   13720.0 | Kr_lines.dat |
| ArI | 10166.651 |    1 |   250 |   20090.0 | Ar_lines.dat |
| HgI | 10166.651 |    1 |   380 |   20090.0 | Hg_lines.dat |
| KrI | 10170.400 |    1 |   162 |   20590.0 | Kr_lines.dat |
| KrI | 10180.200 |    1 |   163 |   22570.0 | Kr_lines.dat |
| XeI | 10191.150 |    1 |   173 |   25090.0 | Xe_lines.dat |
| HgI | 10195.810 |    1 |   382 |   42290.0 | Hg_lines.dat |
| ArI | 10195.810 |    1 |   251 |   42290.0 | Ar_lines.dat |
| HgI | 10196.510 |    1 |   383 |   45810.0 | Hg_lines.dat |
| ArI | 10196.510 |    1 |   252 |   45810.0 | Ar_lines.dat |
| ArI | 10206.193 |    1 |   253 |   63340.0 | Ar_lines.dat |
| HgI | 10206.193 |    1 |   384 |   63340.0 | Hg_lines.dat |
| ArI | 10206.725 |    1 |   254 |   63340.0 | Ar_lines.dat |
| HgI | 10206.725 |    1 |   385 |   63340.0 | Hg_lines.dat |
| XeI | 10223.600 |    1 |   174 |   46990.0 | Xe_lines.dat |
| HgI | 10223.802 |    1 |   387 |   89290.0 | Hg_lines.dat |
| ArI | 10223.802 |    1 |   255 |   89290.0 | Ar_lines.dat |
| KrI | 10224.320 |    1 |   164 |   85790.0 | Kr_lines.dat |
| HgI | 10233.660 |    1 |   389 |   89560.0 | Hg_lines.dat |
| ArI | 10233.660 |    1 |   256 |   89560.0 | Ar_lines.dat |
| HgI | 10253.819 |    1 |   392 |   65130.0 | Hg_lines.dat |
| ArI | 10253.819 |    1 |   257 |   65130.0 | Ar_lines.dat |
| XeI | 10253.880 |    1 |   175 |   37100.0 | Xe_lines.dat |
| HgI | 10264.830 |    1 |   393 |   77180.0 | Hg_lines.dat |
| ArI | 10264.830 |    1 |   258 |   77180.0 | Ar_lines.dat |
| HgI | 10271.082 |    1 |   394 |   64270.0 | Hg_lines.dat |
| ArI | 10271.082 |    1 |   259 |   64270.0 | Ar_lines.dat |
| ArI | 10271.254 |    1 |   260 |   64270.0 | Ar_lines.dat |
| HgI | 10271.254 |    1 |   395 |   64270.0 | Hg_lines.dat |
| KrI | 10276.400 |    1 |   165 |   57090.0 | Kr_lines.dat |
| ArI | 10276.514 |    1 |   261 |   59950.0 | Ar_lines.dat |
| HgI | 10276.514 |    1 |   396 |   59950.0 | Hg_lines.dat |
| ArI | 10278.660 |    1 |   262 |   54620.0 | Ar_lines.dat |
| HgI | 10278.660 |    1 |   397 |   54620.0 | Hg_lines.dat |
| HgI | 10280.120 |    1 |   398 |   50600.0 | Hg_lines.dat |
| ArI | 10280.120 |    1 |   263 |   50600.0 | Ar_lines.dat |
| KrI | 10299.750 |    1 |   166 |   42930.0 | Kr_lines.dat |
| HgI | 10301.911 |    1 |   400 |   41310.0 | Hg_lines.dat |
| ArI | 10301.911 |    1 |   264 |   41310.0 | Ar_lines.dat |
| HgI | 10308.459 |    1 |   401 |   39280.0 | Hg_lines.dat |
| ArI | 10308.459 |    1 |   265 |   39280.0 | Ar_lines.dat |
| KrI | 10325.710 |    1 |   167 |   37350.0 | Kr_lines.dat |
| XeI | 10326.700 |    1 |   176 |   25080.0 | Xe_lines.dat |
| HgI | 10328.170 |    1 |   403 |   40420.0 | Hg_lines.dat |
| ArI | 10328.170 |    1 |   266 |   40420.0 | Ar_lines.dat |
| HgI | 10329.450 |    1 |   404 |   47320.0 | Hg_lines.dat |
| ArI | 10329.450 |    1 |   267 |   47320.0 | Ar_lines.dat |
| HgI | 10335.550 |    1 |   406 |   65630.0 | Hg_lines.dat |
| ArI | 10335.550 |    1 |   268 |   65630.0 | Ar_lines.dat |
| KrI | 10363.210 |    1 |   168 |    8502.0 | Kr_lines.dat |
| KrI | 10363.990 |    1 |   169 |    8502.0 | Kr_lines.dat |
| HgI | 10368.800 |    1 |   408 |   10210.0 | Hg_lines.dat |
| ArI | 10368.800 |    1 |   269 |   10210.0 | Ar_lines.dat |
| ArI | 10372.920 |    1 |   270 |   10680.0 | Ar_lines.dat |
| HgI | 10372.920 |    1 |   409 |   10680.0 | Hg_lines.dat |
| KrI | 10377.280 |    1 |   170 |   12870.0 | Kr_lines.dat |
| ArI | 10386.746 |    1 |   271 |   18040.0 | Ar_lines.dat |
| HgI | 10386.746 |    1 |   410 |   18040.0 | Hg_lines.dat |
| KrI | 10392.130 |    1 |   171 |   17060.0 | Kr_lines.dat |
| ArI | 10395.467 |    1 |   272 |   27560.0 | Ar_lines.dat |
| HgI | 10395.467 |    1 |   411 |   27560.0 | Hg_lines.dat |
| HgI | 10404.373 |    1 |   412 |   28620.0 | Hg_lines.dat |
| ArI | 10404.373 |    1 |   273 |   28620.0 | Ar_lines.dat |
| ArI | 10410.038 |    1 |   274 |   23140.0 | Ar_lines.dat |
| HgI | 10410.038 |    1 |   413 |   23140.0 | Hg_lines.dat |
| ArI | 10413.400 |    1 |   275 |   26660.0 | Ar_lines.dat |
| HgI | 10413.400 |    1 |   414 |   26660.0 | Hg_lines.dat |
| XeI | 10423.380 |    1 |   177 |   17200.0 | Xe_lines.dat |
| KrI | 10431.350 |    1 |   172 |   30400.0 | Kr_lines.dat |
| ArI | 10443.369 |    1 |   276 |   33600.0 | Ar_lines.dat |
| HgI | 10443.369 |    1 |   418 |   33600.0 | Hg_lines.dat |
| ArI | 10445.452 |    1 |   277 |   38380.0 | Ar_lines.dat |
| HgI | 10445.452 |    1 |   419 |   38380.0 | Hg_lines.dat |
| HgI | 10450.644 |    1 |   420 |   41560.0 | Hg_lines.dat |
| ArI | 10450.644 |    1 |   278 |   41560.0 | Ar_lines.dat |
| KrI | 10461.430 |    1 |   173 |   63110.0 | Kr_lines.dat |
| HgI | 10470.048 |    1 |   423 | 1408000.0 | Hg_lines.dat |
| ArI | 10470.048 |    1 |   279 | 1408000.0 | Ar_lines.dat |
| ArI | 10472.923 |    1 |   280 | 1411000.0 | Ar_lines.dat |
| HgI | 10472.923 |    1 |   424 | 1411000.0 | Hg_lines.dat |
| HgI | 10480.905 |    1 |   425 |  129900.0 | Hg_lines.dat |
| ArI | 10480.905 |    1 |   281 |  129900.0 | Ar_lines.dat |
| XeI | 10487.700 |    1 |   178 |   36100.0 | Xe_lines.dat |
| KrI | 10489.160 |    1 |   174 |   99280.0 | Kr_lines.dat |
| HgI | 10498.817 |    1 |   426 |   22450.0 | Hg_lines.dat |
| ArI | 10498.817 |    1 |   282 |   22450.0 | Ar_lines.dat |
| HgI | 10503.077 |    1 |   427 |   25460.0 | Hg_lines.dat |
| ArI | 10503.077 |    1 |   283 |   25460.0 | Ar_lines.dat |
| ArI | 10509.380 |    1 |   284 |   23380.0 | Ar_lines.dat |
| HgI | 10509.380 |    1 |   429 |   23380.0 | Hg_lines.dat |
| XeI | 10510.790 |    1 |   179 |   19360.0 | Xe_lines.dat |
| XeI | 10518.030 |    1 |   180 |   25760.0 | Xe_lines.dat |
| ArI | 10519.790 |    1 |   285 |   33430.0 | Ar_lines.dat |
| HgI | 10519.790 |    1 |   430 |   33430.0 | Hg_lines.dat |
| ArI | 10522.388 |    1 |   286 |   41490.0 | Ar_lines.dat |
| HgI | 10522.388 |    1 |   431 |   41490.0 | Hg_lines.dat |
| XeI | 10530.742 |    1 |   181 |   34660.0 | Xe_lines.dat |
| ArI | 10538.410 |    1 |   287 |   33050.0 | Ar_lines.dat |
| HgI | 10538.410 |    1 |   432 |   33050.0 | Hg_lines.dat |
| HgI | 10544.455 |    1 |   433 |   27870.0 | Hg_lines.dat |
| ArI | 10544.455 |    1 |   288 |   27870.0 | Ar_lines.dat |
| ArI | 10552.016 |    1 |   289 |   37740.0 | Ar_lines.dat |
| HgI | 10552.016 |    1 |   434 |   37740.0 | Hg_lines.dat |
| KrI | 10552.530 |    1 |   175 |   38400.0 | Kr_lines.dat |
| XeI | 10552.650 |    1 |   182 |   24660.0 | Xe_lines.dat |
| HgI | 10558.823 |    1 |   435 |   38120.0 | Hg_lines.dat |
| ArI | 10558.823 |    1 |   290 |   38120.0 | Ar_lines.dat |
| KrI | 10565.730 |    1 |   176 |   30590.0 | Kr_lines.dat |
| KrI | 10578.400 |    1 |   177 |   53700.0 | Kr_lines.dat |
| ArI | 10583.730 |    1 |   291 |   48220.0 | Ar_lines.dat |
| HgI | 10583.730 |    1 |   436 |   48220.0 | Hg_lines.dat |
| KrI | 10595.940 |    1 |   178 |   49850.0 | Kr_lines.dat |
| HgI | 10610.600 |    1 |   437 |   16870.0 | Hg_lines.dat |
| ArI | 10610.600 |    1 |   292 |   16870.0 | Ar_lines.dat |
| KrI | 10611.370 |    1 |   179 |   12910.0 | Kr_lines.dat |
| ArI | 10616.903 |    1 |   293 |   17460.0 | Ar_lines.dat |
| HgI | 10616.903 |    1 |   438 |   17460.0 | Hg_lines.dat |
| HgI | 10622.376 |    1 |   439 |   16400.0 | Hg_lines.dat |
